datawrapper,Unnamed: 0,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Рейтинг 7х7_2015,Рейтинг 7х7_2017,Рейтинг 7х7_2019,Рейтинг 7х7_2021,Рейтинг 7х7_2023,Рейтинг 7х7_2025,Рейтинг 7х7_2015_оценка,Рейтинг 7х7_2017_оценка,Рейтинг 7х7_2019_оценка,Рейтинг 7х7_2021_оценка,Рейтинг 7х7_2023_оценка,Рейтинг 7х7_2025_оценка
Российская Федерация,2,Российская Федерация,100000000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.12614716486397906,,0.12298780452799478,,0.04458802244703924,,0.13983420297115354,,0.14763719674975082,,,,0.4557531266255445,0.4873906224004874,0.5103823816662856,0.5963731660788584,0.5696145923055598,0.5253298455421616,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Алтайский край,7,Алтайский край,1000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.04217028886898909,,0.04483005209181361,,0.025773366860645495,,0.05758122267607022,,0.09081111731728092,,,,0.3194263512356526,0.3379454302740895,0.46309807763169275,0.4987244077585414,0.4941474926199423,0.536648993044221,Неуд,Неуд,Удовлетворительно,Неуд,Неуд,Удовлетворительно
Российская Федерация,2,Российская Федерация,100000000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.3281250000000001,,0.2967289719626167,,0.2596810933940774,,0.4397291196388261,,0.3390569637503408,,,,0.4557531266255445,0.4873906224004874,0.5103823816662856,0.5963731660788584,0.5696145923055598,0.5253298455421616,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Амурская область,8,Амурская область,10000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.10685054836626555,,0.06609651942355164,,0.029362118343469093,,0.11991005045307675,,0.07577841593249804,,,,0.32414887281642696,0.3115867714133977,0.3989881586704117,0.4930249018625719,0.42992898739342256,0.2802476350864763,Неуд,Кол,Неуд,Неуд,Неуд,Неуд
Российская Федерация,3,Российская Федерация,100000000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,0.5714285714285714,31.0,0.4444444444444444,47.0,0.5588235294117647,39.0,0.47619047619047616,36.0,0.5333333333333333,,0.4557531266255445,0.4873906224004874,0.5103823816662856,0.5963731660788584,0.5696145923055598,0.5253298455421616,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Архангельская область,13,Архангельская область,11200000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.06626285439200262,,0.043858010324065624,,0.014168197148367277,,0.10747621950483453,,0.14972704188573843,,,,0.34678666387678964,0.4150291168480117,0.42004291051590514,0.5297345687259889,0.5039832097798725,0.432040073002019,Неуд,Неуд,Удовлетворительно,Удовлетворительно,Неуд,Удовлетворительно
Астраханская область,16,Астраханская область,12000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.02710963472163696,,0.03735300738705328,,0.009221633470591042,,0.057024541616872475,,0.05385276882192678,,,,0.3213287440603998,0.3947639491370096,0.45907928220127775,0.4226660352856735,0.4750822606522715,0.6310961623555806,Неуд,Неуд,Удовлетворительно,Неуд,Неуд,Хорошо
Белгородская область,23,Белгородская область,14000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.08639792671411403,,0.0896153374950271,,0.03587978720242292,,0.09738327790586788,,0.09534070264134273,,,,0.4567253740461297,0.5057298619281252,0.530163670432763,0.5864887837041138,0.5579866356327584,0.4928850225473633,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно,Удовлетворительно
Брянская область,24,Брянская область,15000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95917,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,0.04538193590899159,,0.05061701688711869,,0.019394816293885116,,0.06382618510158013,,0.08574011667816835,,,,0.33517306716001416,0.3841373294721225,0.47306626800271545,0.5314102761764913,0.5449321576300564,0.6180521010496982,Неуд,Неуд,Удовлетворительно,Удовлетворительно,Удовлетворительно,Хорошо
Алтайский край,6,Алтайский край,1000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,25.0,0.4285714285714286,31.0,0.4444444444444444,46.0,0.5882352941176471,34.0,0.7142857142857143,30.0,0.7333333333333334,,0.3194263512356526,0.3379454302740895,0.46309807763169275,0.4987244077585414,0.4941474926199423,0.536648993044221,Неуд,Неуд,Удовлетворительно,Неуд,Неуд,Удовлетворительно
