,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,Российская Федерация,100000000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,42573.0,,50842.0,,59656.0,,71364.0,,96425.0,,,
1,Российская Федерация,100000000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,29235.0,,34480.0,,41233.0,,49205.0,,64591.0,,,
2,Российская Федерация,100000000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,31.3,,32.2,,30.9,,31.05,,33.01,,,
3,Российская Федерация,100000000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,31.0,31.0,47.0,47.0,39.0,39.0,36.0,36.0,
4,Алтайский край,1000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,17985.0,,19968.0,,26928.0,,30064.0,,41628.0,,,
5,Алтайский край,1000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,23778.0,,27518.0,,34413.0,,38463.0,,56490.0,,,
6,Алтайский край,1000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,25.0,25.0,31.0,31.0,46.0,46.0,34.0,34.0,30.0,30.0,
7,Алтайский край,1000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,24.4,,27.4,,21.8,,21.84,,26.31,,,
8,Амурская область,10000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,34.2,,38.4,,36.1,,36.6,,40.13,,,
9,Амурская область,10000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,27.0,27.0,29.0,29.0,52.0,52.0,43.0,43.0,41.0,41.0,
10,Амурская область,10000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,28418.0,,32310.0,,43164.0,,51013.0,,65700.0,,,
11,Амурская область,10000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,43158.0,,52429.0,,67499.0,,80460.0,,109746.0,,,
12,Архангельская область,11200000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,23.0,33.0,33.0,54.0,54.0,42.0,42.0,35.0,35.0,
13,Архангельская область,11200000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,40.4,,40.6,,39.1,,36.13,,30.81,,,
14,Архангельская область,11200000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,46171.0,,52530.0,,64567.0,,73179.0,,87227.0,,,
15,Архангельская область,11200000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,27538.0,,31222.0,,39331.0,,46738.0,,60353.0,,,
16,Астраханская область,12000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,42.3,,38.9,,38.8,,37.83,,37.91,,,
17,Астраханская область,12000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,30.0,30.0,39.0,39.0,41.0,41.0,32.0,32.0,
18,Астраханская область,12000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,19207.0,,24156.0,,29085.0,,33736.0,,43420.0,,,
19,Астраханская область,12000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,33274.0,,39516.0,,47515.0,,54261.0,,69932.0,,,
20,Белгородская область,14000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,22877.0,,26098.0,,31916.0,,37958.0,,48111.0,,,
21,Белгородская область,14000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,31310.0,,35995.0,,42890.0,,51947.0,,71325.0,,,
22,Белгородская область,14000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,23.0,23.0,32.0,32.0,50.0,50.0,40.0,40.0,41.0,41.0,
23,Белгородская область,14000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,26.9,,27.5,,25.6,,26.93,,32.55,,,
24,Брянская область,15000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,30.6,,30.5,,28.6,,25.01,,30.09,,,
25,Брянская область,15000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,26448.0,,30640.0,,35920.0,,41606.0,,61185.0,,,
26,Брянская область,15000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,18361.0,,21289.0,,25656.0,,31202.0,,42776.0,,,
27,Брянская область,15000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,30.0,30.0,48.0,48.0,34.0,34.0,30.0,30.0,
28,Владимирская область,17000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,21412.0,,25366.0,,30540.0,,36818.0,,49484.0,,,
29,Владимирская область,17000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,29260.0,,35150.0,,41659.0,,49669.0,,67161.0,,,
30,Владимирская область,17000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,26.8,,27.8,,26.7,,25.87,,26.32,,,
31,Владимирская область,17000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,27.0,27.0,48.0,48.0,39.0,39.0,35.0,35.0,
32,Волгоградская область,18000000,"Средняя заработная плата по группам занятий, женщины",95790,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,20356.0,,24195.0,,28845.0,,33454.0,,43111.0,,,
33,Волгоградская область,18000000,"Средняя заработная плата по группам занятий, мужчины",95789,рубль,,Средняя  начисленная заработная плата мужчин и женщин по группам занятий и субъектам Российской Федерации за октябрь отчетного года. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.,,29648.0,,34053.0,,39019.0,,46808.0,,63589.0,,,
34,Волгоградская область,18000000,Забота о других,95853,%,,"Расчет «Если быть точным». Доля респондентов, в круг ежедневных занятий которых входит уход за детьми или за нуждающимися в особой помощи лицами, от всех респондентов. Суммарное время, затрачиваемое на заботу о них. Источник - Росстат: Комплексное наблюдение условий жизни населения. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же. Данные за 2022 и 2024 год — рассчет «Горизонтальной России». Источник тот же.",,,24.0,24.0,31.0,31.0,48.0,48.0,38.0,38.0,37.0,37.0,
35,Волгоградская область,18000000,Гендерный разрыв в оплате труда по группам занятий (в пользу мужчин),95799,%,,"Расчет «Если быть точным». Гендерный разрыв рассчитывается по методологии МОТ как отношение разницы среднемесячной зарплаты мужчин и женщин, и зарплаты мужчин. Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников. Данные за 2021 и 2023 год — рассчет «Горизонтальной России». Источник тот же.",,31.3,,28.9,,26.1,,28.53,,32.2,,,
